ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [s],Runtime Improvement [s],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
396,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.99%),0.00,37.29 (+1788.27%),70.21 (+348.85%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
397,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15863.45%),0.00,11.09 (+461.67%),49.90 (+219.06%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
398,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.01%),0.00,23.79 (+1104.47%),90.21 (+476.77%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
399,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.15%),0.00,1.48  (-25.12%),14.99   (-4.17%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
400,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11878.01%),0.00,11.11 (+462.52%),49.93 (+219.25%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
401,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.13%),0.00,35.44 (+1694.81%),83.38 (+433.06%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
402,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.91%),0.00,72.35 (+3563.59%),48.18 (+208.04%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
403,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.68%),0.00,64.62 (+3172.11%),44.44 (+184.09%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
404,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2710.07%),0.00,2.59  (+31.21%),51.34 (+228.26%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
405,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-14.96%),0.00,86.89 (+4299.72%),58.57 (+274.48%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
406,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.80%),0.00,72.27 (+3559.35%),58.68 (+275.14%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
407,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.62%),0.00,11.10 (+462.05%),49.89 (+218.98%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
408,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.01%),0.00,23.86 (+1107.99%),90.45 (+478.30%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
409,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.24%),0.00,1.51  (-23.53%),14.99   (-4.15%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
410,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15866.51%),0.00,11.11 (+462.67%),49.95 (+219.34%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
411,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.95%),0.00,37.39 (+1793.39%),70.06 (+347.91%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
412,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15862.82%),0.00,11.09 (+461.68%),49.90 (+219.06%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
413,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.01%),0.00,23.82 (+1106.25%),90.60 (+479.26%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
414,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+31.89%),0.00,1.48  (-25.09%),14.99   (-4.14%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
415,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11878.04%),0.00,11.11 (+462.48%),49.93 (+219.23%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
416,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.14%),0.00,35.46 (+1695.52%),83.45 (+433.54%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
417,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.88%),0.00,72.40 (+3566.03%),48.22 (+208.30%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
418,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.69%),0.00,64.58 (+3170.00%),44.45 (+184.16%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
419,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2719.21%),0.00,2.60  (+31.53%),50.46 (+222.62%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
420,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-15.03%),0.00,86.47 (+4278.79%),58.32 (+272.84%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
421,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.81%),0.00,72.24 (+3558.13%),58.62 (+274.78%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
422,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.83%),0.00,11.10 (+462.07%),49.89 (+218.99%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
423,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.01%),0.00,23.83 (+1106.47%),90.34 (+477.57%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
424,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+31.54%),0.00,1.50  (-24.03%),15.06   (-3.74%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
425,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15866.62%),0.00,11.11 (+462.67%),49.95 (+219.33%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
426,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.99%),0.00,37.33 (+1790.22%),70.34 (+349.69%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
427,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15863.48%),0.00,11.09 (+461.67%),49.90 (+219.06%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
428,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.03%),0.00,23.87 (+1108.50%),90.53 (+478.82%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
429,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.01%),0.00,1.48  (-24.98%),15.04   (-3.87%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
430,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11878.45%),0.00,11.11 (+462.52%),49.93 (+219.25%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
431,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.16%),0.00,35.51 (+1698.00%),83.31 (+432.60%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
432,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.88%),0.00,72.41 (+3566.41%),48.22 (+208.28%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
433,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.64%),0.00,64.57 (+3169.52%),44.43 (+184.08%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
434,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2740.43%),0.00,2.60  (+31.68%),51.10 (+226.72%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
435,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-14.96%),0.00,86.28 (+4268.79%),58.43 (+273.56%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
436,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.80%),0.00,72.20 (+3556.10%),58.61 (+274.70%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
437,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.71%),0.00,11.10 (+462.05%),49.89 (+218.99%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
438,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.03%),0.00,23.92 (+1111.03%),90.54 (+478.88%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
439,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+31.85%),0.00,1.47  (-25.35%),15.03   (-3.93%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
440,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15866.43%),0.00,11.11 (+462.67%),49.95 (+219.33%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
